Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Box Package Type (product.metafields.custom.box_package_type),Age group (product.metafields.shopify.age-group),Bracelet design (product.metafields.shopify.bracelet-design),Color (product.metafields.shopify.color-pattern),Earring design (product.metafields.shopify.earring-design),Gemstone type (product.metafields.shopify.gemstone-type),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Necklace design (product.metafields.shopify.necklace-design),Ring design (product.metafields.shopify.ring-design),Ring size (product.metafields.shopify.ring-size),Stone shape (product.metafields.shopify.stone-shape),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United Arab Emirates,Price / United Arab Emirates,Compare At Price / United Arab Emirates,Included / Bahrain,Price / Bahrain,Compare At Price / Bahrain,Included / Kuwait,Price / Kuwait,Compare At Price / Kuwait,Included / Oman,Price / Oman,Compare At Price / Oman,Included / Qatar,Price / Qatar,Compare At Price / Qatar,Included / Rest Of the World,Price / Rest Of the World,Compare At Price / Rest Of the World,Included / Saudi,Price / Saudi,Compare At Price / Saudi,Status
estela-gold-premium-rhodium-plated-alloy-bracelet-with-high-quality-simulated-diamonds,Estela Gold Premium Rhodium-Plated Alloy Bracelet with High-Quality Simulated Diamonds,"<p class=""PDq2pG_selectionAnchorContainer"">Elevate your style with the <strong>Estela Gold Premium Bracelet</strong>, featuring a sophisticated gold finish and high-quality simulated diamonds for an elegant and luxurious sparkle. Its timeless design complements both modern and traditional GCC fashion, making it a beautiful accessory for weddings, engagements, celebrations, evening events, and special occasions.</p>
<p><strong>Product Features:</strong></p>
<ul>
<li>Premium gold-tone finish</li>
<li>Rhodium-plated alloy construction</li>
<li>High-quality simulated diamonds for a brilliant sparkle</li>
<li>Elegant and sophisticated design</li>
<li>Comfortable for extended wear</li>
<li>Suitable for weddings, engagements, parties, and formal occasions</li>
<li>Perfect for elegant everyday styling</li>
<li>Ideal as a thoughtful gift for special occasions</li>
<li>Complements GCC fashion and traditional occasion wear</li>
</ul>
<p><strong>Style:</strong> Elegant | Luxury | Feminine | Timeless<br><strong>Perfect For:</strong> Weddings | Engagements | Celebrations | Evening Events | Gifting</p>",OMNIASTORES UAE,Apparel & Accessories > Jewelry > Bracelets,Luxury Sets,Luxury Sets,true,Color,gold,product.metafields.shopify.color-pattern,Bracelet size,Adjustable,,,,,ZA3494BC0,0.0,shopify,1,deny,manual,420.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/Unknown_7df5524d-f6a9-44f3-95b3-53d3528aa269.jpg?v=1788878397,1,"",false,,,,,chain,gold,,,alloy; rhodium-plated-1,imitation-jewelry,,,,,,,,,,,kg,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
estela-gold-premium-rhodium-plated-alloy-necklace-with-high-quality-simulated-diamonds,Estela Gold Premium Rhodium-Plated Alloy Necklace with High-Quality Simulated Diamonds,"<p class=""PDq2pG_selectionAnchorContainer"">Elevate your style with the <strong>Estela Gold Premium Necklace</strong>, featuring a sophisticated gold finish and high-quality simulated diamonds for an elegant and luxurious sparkle. Its timeless design complements both modern and traditional GCC fashion, making it an ideal accessory for weddings, engagements, celebrations, evening events, and special occasions.</p>
<p><strong>Product Features:</strong></p>
<ul>
<li>Premium gold-tone finish</li>
<li>Rhodium-plated alloy construction</li>
<li>High-quality simulated diamonds for a brilliant sparkle</li>
<li>Elegant and sophisticated design</li>
<li>Comfortable for extended wear</li>
<li>Suitable for weddings, engagements, parties, and formal occasions</li>
<li>Perfect for elegant everyday styling</li>
<li>Ideal as a thoughtful gift for special occasions</li>
<li>Complements GCC fashion and traditional occasion wear</li>
</ul>
<p><strong>Style:</strong> Elegant | Luxury | Feminine | Timeless<br><strong>Perfect For:</strong> Weddings | Engagements | Celebrations | Evening Events | Gifting</p>",OMNIASTORES UAE,Apparel & Accessories > Jewelry > Necklaces,Luxury Sets,Luxury Sets,true,Color,gold,product.metafields.shopify.color-pattern,,,,,,,ZA3494NC0,0.0,shopify,1,deny,manual,720.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/Unknown_32ef690b-8761-4962-af03-a9b459f61e33.jpg?v=1788876575,1,"",false,,,,,,gold,,,alloy; rhodium-plated-1,imitation-jewelry,chain,,,,,,,,,,kg,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
estela-gold-premium-rhodium-plated-alloy-necklace-with-high-quality-simulated-diamonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/q_dabe34d3-1fff-4196-8636-2cfc07dfa9ff.jpg?v=1788876576,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
estela-gold-premium-rhodium-plated-alloy-earring-with-high-quality-simulated-diamonds,Estela Gold Premium Rhodium-Plated Alloy Earring with High-Quality Simulated Diamonds,"<p class=""PDq2pG_selectionAnchorContainer"">Elevate your look with the <strong>Estela Gold Premium Earrings</strong>, featuring a sophisticated gold finish and high-quality simulated diamonds for an elegant and luxurious sparkle. Their timeless design beautifully complements both modern and traditional GCC fashion, making them a perfect choice for weddings, engagements, celebrations, evening events, and special occasions.</p>
<p><strong>Product Features:</strong></p>
<ul>
<li>Premium gold-tone finish</li>
<li>Rhodium-plated alloy construction</li>
<li>High-quality simulated diamonds for a brilliant sparkle</li>
<li>Elegant and sophisticated design</li>
<li>Comfortable for extended wear</li>
<li>Suitable for weddings, engagements, parties, and formal occasions</li>
<li>Perfect for elegant everyday styling</li>
<li>Ideal as a thoughtful gift for special occasions</li>
<li>Complements GCC fashion and traditional occasion wear</li>
</ul>
<p><strong>Style:</strong> Elegant | Luxury | Feminine | Timeless<br><strong>Perfect For:</strong> Weddings | Engagements | Celebrations | Evening Events | Gifting</p>",OMNIASTORES UAE,Apparel & Accessories > Jewelry > Earrings,Luxury Sets,Luxury Sets,true,Color,gold,product.metafields.shopify.color-pattern,,,,,,,ZA3494EC0,0.0,shopify,1,deny,manual,280.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/Unknown_9cd4b97f-dffd-474f-80f1-91066344e3c1.jpg?v=1788875998,1,"",false,,,,,,gold,dangle,,alloy; rhodium-plated-1,imitation-jewelry,,,,,,,,,,,kg,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
estela-gold-premium-rhodium-plated-alloy-earring-with-high-quality-simulated-diamonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/q_43eecd31-e66e-46af-b23a-c9672810f796.jpg?v=1788875998,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
estela-gold-premium-rhodium-plated-alloy-earring-with-high-quality-simulated-diamonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/w_c90332e1-3acd-4494-a139-9372fc3a219e.jpg?v=1788875998,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carla-rose-gold-premium-rhodium-plated-alloy-bangle-with-high-quality-simulated-diamonds,Carla Rose Gold Premium Rhodium-Plated Alloy Bangle with High-Quality Simulated Diamonds,"<p class=""PDq2pG_selectionAnchorContainer"">Elevate your style with the <strong>Carla Rose Gold Premium Bangle</strong>, featuring a sophisticated rose gold finish and high-quality simulated diamonds for a refined and luxurious sparkle. Its elegant design complements both modern and traditional GCC fashion, making it a beautiful choice for weddings, engagements, celebrations, evening events, and special occasions.</p>
<p><strong>Product Features:</strong></p>
<ul>
<li>Premium rose gold-tone finish</li>
<li>Rhodium-plated alloy construction</li>
<li>High-quality simulated diamonds for a brilliant sparkle</li>
<li>Elegant and sophisticated design</li>
<li>Comfortable for extended wear</li>
<li>Suitable for weddings, engagements, parties, and formal occasions</li>
<li>Perfect for elegant everyday styling</li>
<li>Ideal as a thoughtful gift for special occasions</li>
<li>Complements GCC fashion and traditional occasion wear</li>
</ul>
<p><strong>Style:</strong> Elegant | Luxury | Feminine | Timeless<br><strong>Perfect For:</strong> Weddings | Engagements | Celebrations | Evening Events | Gifting</p>",OMNIASTORES UAE,Apparel & Accessories > Jewelry > Bracelets,Luxury Sets,Luxury Sets,true,Color,rose-gold,product.metafields.shopify.color-pattern,Bracelet size,Adjustable,,,,,ZA3451B1C10,0.0,shopify,1,deny,manual,350.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/Unknown_9e7dac3f-ce98-44c4-a9dc-4c28cb285560.jpg?v=1788791731,1,"",false,,,,,bangle,rose-gold,,,alloy; rhodium-plated-1,imitation-jewelry,,,,,,,,,,,kg,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
carla-rose-gold-premium-rhodium-plated-alloy-bangle-with-high-quality-simulated-diamonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/q_7cb7442a-d898-4662-b91c-dea5cd617dd2.jpg?v=1788791732,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carla-rose-gold-premium-rhodium-plated-alloy-earring-with-high-quality-simulated-diamonds,Carla Rose Gold Premium Rhodium-Plated Alloy Earring with High-Quality Simulated Diamonds,"<p class=""PDq2pG_selectionAnchorContainer"">Elevate your look with the <strong>Carla Rose Gold Premium Earrings</strong>, featuring a sophisticated rose gold finish and high-quality simulated diamonds for an elegant and luxurious sparkle. Their refined design complements both modern and traditional GCC fashion, making them a perfect choice for weddings, engagements, celebrations, evening events, and special occasions.</p>
<p><strong>Product Features:</strong></p>
<ul>
<li>Premium rose gold-tone finish</li>
<li>Rhodium-plated alloy construction</li>
<li>High-quality simulated diamonds for a brilliant sparkle</li>
<li>Elegant and sophisticated design</li>
<li>Comfortable for extended wear</li>
<li>Suitable for weddings, engagements, parties, and formal occasions</li>
<li>Perfect for elegant everyday styling</li>
<li>Ideal as a thoughtful gift for special occasions</li>
<li>Complements GCC fashion and traditional occasion wear</li>
</ul>
<p><strong>Style:</strong> Elegant | Luxury | Feminine | Timeless<br><strong>Perfect For:</strong> Weddings | Engagements | Celebrations | Evening Events | Gifting</p>",OMNIASTORES UAE,Apparel & Accessories > Jewelry > Earrings,Luxury Sets,Luxury Sets,true,Color,rose-gold,product.metafields.shopify.color-pattern,,,,,,,ZA3451E1C10,0.0,shopify,1,deny,manual,380.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/Unknown_b90629dc-d652-4eb0-8b23-07a965fa45cf.jpg?v=1788790369,1,"",false,,,,,,rose-gold,dangle,,alloy; rhodium-plated-1,imitation-jewelry,,,,,,,,,,,kg,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
carla-rose-gold-premium-rhodium-plated-alloy-earring-with-high-quality-simulated-diamonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/0654/6957/9451/files/q_f2383ab9-3625-4876-b2bd-fad421085f57.jpg?v=1788790369,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
